sr_code,name,email,password,birthdate,gender,civil_status,scholar,working_student,activities,transportation,accommodation,characteristics,interest,subjects_enrolled,year_started,year_level,target_gwa,learning_style,attended_seminars
22-03999,Susan Talaga,22-03999@g.batstate-u.edu.ph,fO>2O(n4,2003-07-22,Female,Single,True,False,False,Other,Dormitory,"Careful, Witty, Analytical, Honest","Volunteering, Sports","CS 121, Fili 102, GEd 105, GEd 108, Math 401, Math 407, PE 102",2022,First Year,2,"Read/Write, Kinaesthetic / Hands-on, Visual, Intuitive, Social",7
21-80707,Lori Molina,21-80707@g.batstate-u.edu.ph,8<_vW3c$Wz,2002-01-11,Female,Single,True,True,False,Bus,Apartment,"Responsible, Obedient, Analytical","Sports, Games","CS 211, CS 212, IT 211, IT 212, Phy 101, CpE 405, GEd 109, PE 103",2021,Second Year,1.25,"Visual, Kinaesthetic / Hands-on, Read/Write",10
20-83805,Harry Haskins,20-83805@g.batstate-u.edu.ph,-ybA#jP7f,2002-11-13,Male,Single,True,False,False,Private Car / Taxi,Apartment,"Ambitious, Consitent, Self-Disciplined, Confident, Diligent","Volunteering, Travel, Food, Photography","CS 321, CS 322, CS 324, Math 409, GEd 103, NTT 404",2020,Third Year,1,"Auditory, Kinaesthetic / Hands-on, Social, Intuitive, Visual",7
22-83201,Tim Rouse,22-83201@g.batstate-u.edu.ph,8p+anOX8+J,2004-08-17,Male,Single,False,False,False,Private Car / Taxi,Dormitory,"Responsible, Cooperative, Obedient","Programming, Reading Books","CS 121, Fili 102, GEd 105, GEd 108, Math 401, Math 407, PE 102",2022,First Year,2,"Intuitive, Kinaesthetic / Hands-on",1
22-73904,Irma Short,22-73904@g.batstate-u.edu.ph,G=dvSHlb5,2003-12-22,Female,Single,False,False,False,Private Car / Taxi,Apartment,"Punctual, Creative, Cooperative, Diligent, Obedient, Adventurous","Yoga, Travel","IT 111, CS 111, Fili 101, GEd 101, GEd 102, Math 111, PE 101",2022,First Year,1.5,"Social, Kinaesthetic / Hands-on",5
20-13061,Tim Lykes,20-13061@g.batstate-u.edu.ph,*iG(F86?Q,2002-01-17,Male,Single,True,True,False,Private Car / Taxi,Dormitory,"Obedient, Creative, Witty, Cooperative, Ambitious, Responsible","Dancing, Travel, Yoga","CS 311, CS 312, IT 321, IT 314, IT 331, Math 408, GEd 104",2020,Third Year,1.25,"Social, Logical / Patterns, Intuitive, Auditory, Kinaesthetic / Hands-on, Read/Write",2
22-47820,Troy Boyes,22-47820@g.batstate-u.edu.ph,PC=)9H!rw,2003-12-24,Male,Single,False,True,False,Bus,Other,"Obedient, Responsible, Adventurous, Ambitious, Adaptable","Dancing, Art","CS 121, Fili 102, GEd 105, GEd 108, Math 401, Math 407, PE 102",2022,First Year,1.25,"Kinaesthetic / Hands-on, Read/Write, Auditory, Visual, Logical / Patterns",10
19-29353,Emma Geerdes,19-29353@g.batstate-u.edu.ph,KxV=5u^6,1999-01-23,Female,Single,False,False,False,Bus,Dormitory,"Self-Disciplined, Adaptable, Persistent, Honest, Adventurous","Sports, Volunteering, Reading Books","CS 411, CS 412, CS 413, CS 414, CS 415, CS 424",2019,Fourth Year,1.5,"Kinaesthetic / Hands-on, Intuitive, Visual, Logical / Patterns, Auditory",9
20-65469,Derrick Pair,20-65469@g.batstate-u.edu.ph,G7#rUvn3,2001-09-28,Male,Single,True,True,False,Private Car / Taxi,Dormitory,"Confident, Obedient, Consitent, Diligent, Analytical","Sports, Reading Books","CS 311, CS 312, IT 321, IT 314, IT 331, Math 408, GEd 104",2020,Third Year,2,"Visual, Social, Auditory, Read/Write",2
22-13212,Tina Turner,22-13212@g.batstate-u.edu.ph,*wRe)EIhT5,2003-03-19,Female,Single,True,False,True,Bus,With Family,"Persistent, Honest, Adaptable","Art, Food","CS 121, Fili 102, GEd 105, GEd 108, Math 401, Math 407, PE 102",2022,First Year,1.25,"Read/Write, Social, Kinaesthetic / Hands-on",7
22-85959,Pauline Bienkowski,22-85959@g.batstate-u.edu.ph,WG5f=#*k>Z,2002-05-09,Female,Single,False,False,False,Bicycle,Dormitory,"Punctual, Consitent, Confident","Games, Reading Books, Programming","CS 121, Fili 102, GEd 105, GEd 108, Math 401, Math 407, PE 102",2022,First Year,1,"Read/Write, Intuitive, Logical / Patterns",7
20-09742,James Williams,20-09742@g.batstate-u.edu.ph,E.6B_HZc9f,2002-02-19,Male,Married,False,False,False,Bus,Dormitory,"Alert, Honest, Consitent, Self-Disciplined, Cooperative","Yoga, Reading Books","CS 321, CS 322, CS 324, Math 409, GEd 103, NTT 404",2020,Third Year,2,"Social, Visual",3
21-22330,Dorothy Fravel,21-22330@g.batstate-u.edu.ph,0J3*iKug,2003-09-05,Female,Single,True,False,False,Private Car / Taxi,With Family,"Confident, Witty, Diligent, Punctual, Adventurous, Responsible","Sports, Games, Reading Books","CS 221, CS 222, IT 221, GEd 106, GEd 107, ES 101, ENGG 414, PE 104",2021,Second Year,2,"Visual, Social",2
22-36092,Brandon Torres,22-36092@g.batstate-u.edu.ph,Lm=cWM6j+,2004-06-30,Male,Single,False,False,False,Private Car / Taxi,With Family,"Confident, Alert, Adaptable, Adventurous, Consitent, Cooperative","Dancing, Music, Reading Books, Volunteering","CS 121, Fili 102, GEd 105, GEd 108, Math 401, Math 407, PE 102",2022,First Year,1.25,"Intuitive, Read/Write, Kinaesthetic / Hands-on, Logical / Patterns, Visual",4
20-17274,Alfred Rendon,20-17274@g.batstate-u.edu.ph,#PrS$2j-pC,2002-12-21,Male,Single,True,True,False,Other,Apartment,"Consitent, Adventurous, Responsible, Alert, Adaptable, Creative","Volunteering, Sports, Games","CS 311, CS 312, IT 321, IT 314, IT 331, Math 408, GEd 104",2020,Third Year,2,"Auditory, Kinaesthetic / Hands-on, Logical / Patterns",0
21-91205,Roger Burton,21-91205@g.batstate-u.edu.ph,?dGQ$+BJg7,2001-09-17,Male,Single,False,True,False,Private Car / Taxi,Dormitory,"Obedient, Persistent, Alert, Careful","Sports, Programming, Volunteering","CS 221, CS 222, IT 221, GEd 106, GEd 107, ES 101, ENGG 414, PE 104",2021,Second Year,1,"Social, Visual, Intuitive, Read/Write",8
20-66343,John Caul,20-66343@g.batstate-u.edu.ph,#lh-=xI0F,2000-07-17,Male,Single,False,False,False,Private Car / Taxi,Apartment,"Confident, Obedient, Analytical","Dancing, Reading Books, Travel, Programming","CS 311, CS 312, IT 321, IT 314, IT 331, Math 408, GEd 104",2020,Third Year,1.5,"Kinaesthetic / Hands-on, Visual",4
20-26572,David Jarrell,20-26572@g.batstate-u.edu.ph,L.FQa&8A,2002-02-07,Male,Single,False,False,False,Bus,With Family,"Persistent, Confident, Consitent, Analytical","Art, Reading Books, Games","CS 311, CS 312, IT 321, IT 314, IT 331, Math 408, GEd 104",2020,Third Year,1.5,"Social, Kinaesthetic / Hands-on, Auditory, Visual, Logical / Patterns, Read/Write",4
20-69471,Mary Rapkin,20-69471@g.batstate-u.edu.ph,?*c6T0b?Ep,2001-07-13,Female,Single,True,False,False,Bus,Apartment,"Self-Disciplined, Confident, Ambitious","Games, Sports","CS 311, CS 312, IT 321, IT 314, IT 331, Math 408, GEd 104",2020,Third Year,2,"Logical / Patterns, Intuitive, Read/Write, Visual, Kinaesthetic / Hands-on",9
19-00157,Kenneth Raines,19-00157@g.batstate-u.edu.ph,MPnJ&F1^O3,2000-04-16,Male,Single,True,False,False,Bus,With Family,"Cooperative, Self-Disciplined, Creative, Persistent","Dancing, Music, Sports, Photography","CS 411, CS 412, CS 413, CS 414, CS 415, CS 424",2019,Fourth Year,2,"Kinaesthetic / Hands-on, Intuitive, Auditory, Visual, Read/Write",3
22-27144,Rudy Johnson,22-27144@g.batstate-u.edu.ph,"Ok&AA4<,e",2003-12-31,Female,Single,False,False,False,Bus,Other,"Cooperative, Ambitious, Careful","Food, Photography, Programming","IT 111, CS 111, Fili 101, GEd 101, GEd 102, Math 111, PE 101",2022,First Year,1,"Read/Write, Visual, Kinaesthetic / Hands-on",5
20-88921,Sommer Headrick,20-88921@g.batstate-u.edu.ph,Z8hnX+&c,2001-09-25,Female,Single,False,False,True,Bus,Dormitory,"Creative, Ambitious, Alert","Sports, Volunteering, Photography","CS 321, CS 322, CS 324, Math 409, GEd 103, NTT 404",2020,Third Year,2,"Visual, Social, Auditory, Intuitive, Kinaesthetic / Hands-on, Read/Write",7
19-06910,Barbara Todd,19-06910@g.batstate-u.edu.ph,Mx^xAgT4q_,2001-11-12,Female,Single,True,True,False,Bus,With Family,"Alert, Ambitious, Creative, Adaptable, Analytical, Honest","Reading Books, Games, Photography, Dancing","CS 411, CS 412, CS 413, CS 414, CS 415, CS 424",2019,Fourth Year,2,"Social, Intuitive, Visual, Auditory, Read/Write, Logical / Patterns",8
21-23814,Stephanie Boehm,21-23814@g.batstate-u.edu.ph,(3eGZO7u,2002-04-19,Female,Single,False,False,False,Bus,Apartment,"Confident, Careful, Adaptable, Diligent","Music, Art","CS 221, CS 222, IT 221, GEd 106, GEd 107, ES 101, ENGG 414, PE 104",2021,Second Year,1.5,"Visual, Auditory",5
21-96808,Natalie Hoffman,21-96808@g.batstate-u.edu.ph,O203oV7^>-,2002-09-25,Female,Single,True,False,False,Private Car / Taxi,With Family,"Obedient, Cooperative, Ambitious, Witty, Consitent, Creative","Games, Music, Food","CS 211, CS 212, IT 211, IT 212, Phy 101, CpE 405, GEd 109, PE 103",2021,Second Year,1.5,"Logical / Patterns, Social",5
22-85066,Kenneth Short,22-85066@g.batstate-u.edu.ph,hVE#U6^!,2004-07-04,Male,Single,False,False,False,Private Car / Taxi,Apartment,"Obedient, Alert, Adventurous, Diligent, Adaptable","Travel, Programming, Yoga","CS 121, Fili 102, GEd 105, GEd 108, Math 401, Math 407, PE 102",2022,First Year,1.5,"Intuitive, Auditory, Kinaesthetic / Hands-on, Logical / Patterns, Read/Write, Visual",6
21-54301,Vivian Townsend,21-54301@g.batstate-u.edu.ph,#^rUu27S,2003-08-19,Female,Single,True,False,False,Private Car / Taxi,Dormitory,"Adaptable, Alert, Ambitious, Cooperative","Programming, Dancing, Volunteering","CS 221, CS 222, IT 221, GEd 106, GEd 107, ES 101, ENGG 414, PE 104",2021,Second Year,2,"Intuitive, Logical / Patterns, Visual",3
19-88906,Deborah Eastwood,19-88906@g.batstate-u.edu.ph,55Es.7Lt3t,2001-05-30,Female,Single,False,False,False,Private Car / Taxi,With Family,"Careful, Witty, Confident","Reading Books, Dancing, Yoga","CS 421, CS 422, CS 423, IT 323, ENGG 405, CS 425",2019,Fourth Year,1.25,"Visual, Social",0
19-92758,Amanda Rose,19-92758@g.batstate-u.edu.ph,9Hr5eUiE-5,1999-11-08,Female,Single,False,False,False,Bicycle,Dormitory,"Analytical, Confident, Cooperative, Persistent, Adventurous, Honest","Reading Books, Volunteering, Food","CS 421, CS 422, CS 423, IT 323, ENGG 405, CS 425",2019,Fourth Year,1.5,"Kinaesthetic / Hands-on, Social, Auditory, Logical / Patterns",7
21-39724,Randall Salberg,21-39724@g.batstate-u.edu.ph,x3z4tj!S=O,2003-06-04,Male,Single,False,False,False,Bus,Apartment,"Consitent, Analytical, Self-Disciplined, Adventurous","Dancing, Food","CS 211, CS 212, IT 211, IT 212, Phy 101, CpE 405, GEd 109, PE 103",2021,Second Year,1,"Logical / Patterns, Intuitive, Read/Write, Auditory, Visual, Kinaesthetic / Hands-on",1
20-39453,Anne Ishman,20-39453@g.batstate-u.edu.ph,#pN97)%),2002-12-11,Female,Single,False,False,False,Private Car / Taxi,Dormitory,"Cooperative, Confident, Responsible, Adventurous, Creative, Analytical","Travel, Sports, Dancing","CS 321, CS 322, CS 324, Math 409, GEd 103, NTT 404",2020,Third Year,1,"Social, Read/Write, Visual, Logical / Patterns, Kinaesthetic / Hands-on, Auditory",6
20-33449,Thomas Kimmel,20-33449@g.batstate-u.edu.ph,zE8n0+vAq<,2002-01-26,Male,Single,False,False,False,Bus,Dormitory,"Responsible, Persistent, Creative, Confident, Analytical","Dancing, Programming, Food, Volunteering","CS 321, CS 322, CS 324, Math 409, GEd 103, NTT 404",2020,Third Year,1,"Visual, Intuitive, Auditory",9
22-90125,Juan Dubuque,22-90125@g.batstate-u.edu.ph,1bW5?MBd,2003-10-13,Male,Single,True,False,False,Private Car / Taxi,Dormitory,"Ambitious, Punctual, Self-Disciplined","Programming, Dancing, Yoga, Music","IT 111, CS 111, Fili 101, GEd 101, GEd 102, Math 111, PE 101",2022,First Year,1.5,"Read/Write, Visual, Social, Auditory",7
22-99339,Jannie Gibbs,22-99339@g.batstate-u.edu.ph,ft6j?S<M9,2003-07-07,Female,Single,False,False,False,Bus,Dormitory,"Honest, Obedient, Analytical","Games, Music, Volunteering","IT 111, CS 111, Fili 101, GEd 101, GEd 102, Math 111, PE 101",2022,First Year,2,"Logical / Patterns, Intuitive, Social",5
22-26783,Lou Carrigan,22-26783@g.batstate-u.edu.ph,"dro,Y>7?1",2003-03-20,Female,Single,False,False,False,Private Car / Taxi,Dormitory,"Adventurous, Confident, Persistent, Cooperative, Obedient","Volunteering, Travel, Yoga, Programming","CS 121, Fili 102, GEd 105, GEd 108, Math 401, Math 407, PE 102",2022,First Year,1.25,"Social, Logical / Patterns, Intuitive, Read/Write, Kinaesthetic / Hands-on",5
20-40982,Denise Petty,20-40982@g.batstate-u.edu.ph,r8LyvJ+AN,2001-07-28,Female,Single,False,False,False,Bus,Apartment,"Analytical, Consitent, Confident","Dancing, Food","CS 321, CS 322, CS 324, Math 409, GEd 103, NTT 404",2020,Third Year,1.5,"Kinaesthetic / Hands-on, Social, Auditory, Intuitive, Visual, Logical / Patterns",1
22-08784,Maria Padilla,22-08784@g.batstate-u.edu.ph,S7-3m%k7(1,2003-05-18,Female,Single,True,True,False,Private Car / Taxi,Dormitory,"Analytical, Honest, Creative, Responsible","Art, Reading Books, Volunteering, Yoga","IT 111, CS 111, Fili 101, GEd 101, GEd 102, Math 111, PE 101",2022,First Year,2,"Auditory, Visual, Social, Logical / Patterns, Intuitive",10
21-04118,Nancy Dodge,21-04118@g.batstate-u.edu.ph,4=(>_fEx,2003-12-07,Female,Single,False,False,False,Other,With Family,"Adventurous, Obedient, Creative, Self-Disciplined","Music, Games, Volunteering, Yoga","CS 211, CS 212, IT 211, IT 212, Phy 101, CpE 405, GEd 109, PE 103",2021,Second Year,2,"Social, Intuitive, Auditory",7
20-75706,William Beattie,20-75706@g.batstate-u.edu.ph,T7S2eB>k)3,2000-04-02,Male,Single,False,False,False,Bus,Apartment,"Confident, Cooperative, Adventurous, Alert, Responsible","Sports, Food","CS 321, CS 322, CS 324, Math 409, GEd 103, NTT 404",2020,Third Year,1.25,"Social, Intuitive, Visual, Read/Write, Kinaesthetic / Hands-on, Auditory",9
22-69848,Patricia Bond,22-69848@g.batstate-u.edu.ph,"ebw,3Ffh-E",2004-02-21,Female,Single,False,False,False,Bicycle,With Family,"Honest, Analytical, Adventurous, Alert, Witty","Sports, Volunteering, Food, Travel","IT 111, CS 111, Fili 101, GEd 101, GEd 102, Math 111, PE 101",2022,First Year,1,"Visual, Read/Write, Auditory",10
22-19262,Phillip Stoll,22-19262@g.batstate-u.edu.ph,c#Ns5G?Uj,2004-05-02,Male,Single,False,False,False,Private Car / Taxi,Dormitory,"Witty, Persistent, Responsible, Adaptable, Cooperative, Confident","Travel, Dancing, Yoga, Reading Books","CS 121, Fili 102, GEd 105, GEd 108, Math 401, Math 407, PE 102",2022,First Year,2,"Kinaesthetic / Hands-on, Social, Logical / Patterns, Read/Write",9
22-26696,Theron Hobson,22-26696@g.batstate-u.edu.ph,"0j7ih,.Xmt",2002-04-28,Male,Single,False,True,True,Private Car / Taxi,Dormitory,"Creative, Self-Disciplined, Witty, Obedient, Confident","Reading Books, Art, Food, Yoga","IT 111, CS 111, Fili 101, GEd 101, GEd 102, Math 111, PE 101",2022,First Year,2,"Visual, Read/Write, Social",0
22-27432,Roosevelt Russell,22-27432@g.batstate-u.edu.ph,_H&2hNmd,2002-01-14,Male,Single,True,False,False,Bus,With Family,"Ambitious, Careful, Responsible","Programming, Food, Photography","IT 111, CS 111, Fili 101, GEd 101, GEd 102, Math 111, PE 101",2022,First Year,1,"Auditory, Social",10
19-49124,Dolores Conkling,19-49124@g.batstate-u.edu.ph,)Izd7060,1999-08-01,Female,Single,True,False,False,Bus,With Family,"Diligent, Self-Disciplined, Consitent, Confident, Alert","Programming, Dancing, Volunteering","CS 421, CS 422, CS 423, IT 323, ENGG 405, CS 425",2019,Fourth Year,1.5,"Intuitive, Auditory, Visual, Social",9
19-19345,Bryan Crawford,19-19345@g.batstate-u.edu.ph,=1d9FDt<Kc,1999-11-18,Male,Single,False,True,True,Bus,Dormitory,"Creative, Cooperative, Ambitious, Self-Disciplined, Analytical","Programming, Reading Books, Music, Photography","CS 421, CS 422, CS 423, IT 323, ENGG 405, CS 425",2019,Fourth Year,2,"Social, Intuitive, Kinaesthetic / Hands-on, Auditory, Visual",7
22-48990,Daniel Sweeney,22-48990@g.batstate-u.edu.ph,mOwc1$yM,2003-07-15,Male,Single,True,False,False,Bus,Dormitory,"Obedient, Analytical, Punctual, Creative, Responsible","Photography, Volunteering, Travel","IT 111, CS 111, Fili 101, GEd 101, GEd 102, Math 111, PE 101",2022,First Year,1.5,"Read/Write, Social",7
20-96895,Pamela Braun,20-96895@g.batstate-u.edu.ph,L8$uLsO$,2002-01-10,Female,Single,True,False,False,Private Car / Taxi,Dormitory,"Consitent, Careful, Ambitious, Cooperative, Honest, Confident","Reading Books, Photography, Programming, Games","CS 311, CS 312, IT 321, IT 314, IT 331, Math 408, GEd 104",2020,Third Year,1.5,"Social, Logical / Patterns, Kinaesthetic / Hands-on, Intuitive, Auditory, Visual",7
22-95792,Michael Olague,22-95792@g.batstate-u.edu.ph,G>56=L7h,2004-07-19,Male,Single,True,False,True,Bus,Apartment,"Punctual, Ambitious, Alert","Yoga, Volunteering, Programming, Photography","CS 121, Fili 102, GEd 105, GEd 108, Math 401, Math 407, PE 102",2022,First Year,1.25,"Intuitive, Social, Kinaesthetic / Hands-on",3
21-89907,Donna Miller,21-89907@g.batstate-u.edu.ph,mDx<5^n7AU,2002-03-08,Female,Single,True,False,False,Bicycle,Other,"Consitent, Adaptable, Alert, Self-Disciplined, Careful","Yoga, Reading Books, Sports","CS 211, CS 212, IT 211, IT 212, Phy 101, CpE 405, GEd 109, PE 103",2021,Second Year,1.25,"Kinaesthetic / Hands-on, Social, Visual",0
22-34044,Tony Pomroy,22-34044@g.batstate-u.edu.ph,",vZgO6,5A",2002-02-20,Male,Married,True,False,False,Bus,Dormitory,"Honest, Persistent, Cooperative, Diligent","Volunteering, Art, Reading Books","CS 121, Fili 102, GEd 105, GEd 108, Math 401, Math 407, PE 102",2022,First Year,1,"Intuitive, Auditory, Read/Write",0
19-92151,Tom Wyckoff,19-92151@g.batstate-u.edu.ph,#mtS!_T21.,2001-06-02,Male,Single,True,False,False,Private Car / Taxi,With Family,"Careful, Honest, Confident, Self-Disciplined, Alert","Games, Photography","CS 411, CS 412, CS 413, CS 414, CS 415, CS 424",2019,Fourth Year,1,"Visual, Intuitive, Read/Write, Auditory",3
19-45693,Beverly Johnson,19-45693@g.batstate-u.edu.ph,9!41.$Zk,2000-02-12,Female,Single,True,True,False,Bus,Apartment,"Adventurous, Analytical, Diligent, Consitent","Volunteering, Art","CS 421, CS 422, CS 423, IT 323, ENGG 405, CS 425",2019,Fourth Year,1,"Visual, Logical / Patterns, Intuitive, Kinaesthetic / Hands-on, Auditory, Read/Write",3
22-46691,Gerald Seawell,22-46691@g.batstate-u.edu.ph,_3u)>C&SF,2004-02-09,Male,Single,True,False,False,Other,With Family,"Analytical, Witty, Obedient, Diligent","Art, Photography, Games","CS 121, Fili 102, GEd 105, GEd 108, Math 401, Math 407, PE 102",2022,First Year,2,"Read/Write, Visual",0
19-03260,Jaime Rodriguez,19-03260@g.batstate-u.edu.ph,J6V8wily+3,2000-06-06,Male,Single,False,False,True,Private Car / Taxi,With Family,"Witty, Diligent, Adaptable, Honest, Consitent, Confident","Travel, Sports, Volunteering, Art","CS 411, CS 412, CS 413, CS 414, CS 415, CS 424",2019,Fourth Year,1,"Kinaesthetic / Hands-on, Auditory, Visual, Read/Write",10
20-69437,Krystyna Price,20-69437@g.batstate-u.edu.ph,YH$8&vjV,2000-03-15,Female,Single,False,True,False,Bicycle,Apartment,"Diligent, Cooperative, Ambitious","Yoga, Dancing, Games, Volunteering","CS 311, CS 312, IT 321, IT 314, IT 331, Math 408, GEd 104",2020,Third Year,1.25,"Auditory, Intuitive, Read/Write, Logical / Patterns, Social",7
22-25531,Philip Vick,22-25531@g.batstate-u.edu.ph,Cu0CLpp*ke,2002-03-28,Male,Single,False,False,False,Private Car / Taxi,Apartment,"Responsible, Diligent, Cooperative, Self-Disciplined, Consitent, Persistent","Programming, Travel, Reading Books","IT 111, CS 111, Fili 101, GEd 101, GEd 102, Math 111, PE 101",2022,First Year,2,"Logical / Patterns, Visual, Auditory",5
21-43409,Robert Hricko,21-43409@g.batstate-u.edu.ph,oOV9Uk)2_J,2002-05-17,Male,Married,False,False,False,Bus,With Family,"Obedient, Careful, Confident, Creative","Music, Food, Volunteering, Reading Books","CS 221, CS 222, IT 221, GEd 106, GEd 107, ES 101, ENGG 414, PE 104",2021,Second Year,1,"Logical / Patterns, Kinaesthetic / Hands-on, Auditory, Social",3
19-84730,Russell Couley,19-84730@g.batstate-u.edu.ph,_21Zs2_Y=%,2001-05-20,Male,Single,True,False,True,Private Car / Taxi,Apartment,"Adventurous, Adaptable, Punctual, Consitent","Sports, Games, Photography, Reading Books","CS 421, CS 422, CS 423, IT 323, ENGG 405, CS 425",2019,Fourth Year,2,"Read/Write, Auditory, Social, Visual, Kinaesthetic / Hands-on",5
20-39889,Billy Leth,20-39889@g.batstate-u.edu.ph,m4LT<>>m,2002-04-30,Male,Single,False,False,False,Bicycle,Apartment,"Alert, Ambitious, Consitent, Diligent","Art, Travel","CS 311, CS 312, IT 321, IT 314, IT 331, Math 408, GEd 104",2020,Third Year,1.5,"Logical / Patterns, Kinaesthetic / Hands-on, Visual, Social, Auditory",4
22-03080,Frank Cross,22-03080@g.batstate-u.edu.ph,F-roI+0W9,2002-06-27,Male,Single,True,False,True,Private Car / Taxi,Dormitory,"Responsible, Honest, Analytical, Obedient, Ambitious","Games, Music, Travel","IT 111, CS 111, Fili 101, GEd 101, GEd 102, Math 111, PE 101",2022,First Year,1.25,"Kinaesthetic / Hands-on, Intuitive, Visual, Read/Write",1
19-74468,Jeff Pollitt,19-74468@g.batstate-u.edu.ph,xgmU3X3B^y,1999-12-23,Male,Single,False,False,False,Bus,Dormitory,"Consitent, Punctual, Careful, Diligent","Photography, Art","CS 411, CS 412, CS 413, CS 414, CS 415, CS 424",2019,Fourth Year,1,"Logical / Patterns, Read/Write",1
20-47672,Keith Tripp,20-47672@g.batstate-u.edu.ph,t+C18ozS*,2002-12-13,Male,Married,True,False,False,Bus,Apartment,"Adventurous, Analytical, Consitent, Self-Disciplined, Obedient","Sports, Music, Yoga","CS 311, CS 312, IT 321, IT 314, IT 331, Math 408, GEd 104",2020,Third Year,1.5,"Read/Write, Kinaesthetic / Hands-on, Social, Intuitive",5
22-10287,Marguerite Maestas,22-10287@g.batstate-u.edu.ph,Fw90+*D$y,2002-01-13,Female,Single,True,True,False,Other,With Family,"Witty, Creative, Alert, Cooperative, Diligent, Adventurous","Games, Dancing","CS 121, Fili 102, GEd 105, GEd 108, Math 401, Math 407, PE 102",2022,First Year,1.5,"Logical / Patterns, Read/Write",0
22-75952,Randy Sherwood,22-75952@g.batstate-u.edu.ph,"1gTZ%c,-Z",2002-09-04,Male,Single,True,False,False,Bus,With Family,"Consitent, Careful, Witty, Creative, Diligent","Travel, Reading Books, Dancing","IT 111, CS 111, Fili 101, GEd 101, GEd 102, Math 111, PE 101",2022,First Year,1,"Intuitive, Social, Visual",3
20-17789,Virgilio Kephart,20-17789@g.batstate-u.edu.ph,Ryk3E>M-,2002-07-05,Male,Single,False,False,False,Private Car / Taxi,Apartment,"Honest, Self-Disciplined, Analytical","Dancing, Programming","CS 311, CS 312, IT 321, IT 314, IT 331, Math 408, GEd 104",2020,Third Year,2,"Visual, Read/Write, Logical / Patterns, Kinaesthetic / Hands-on, Social, Auditory",0
22-83882,Aleen Borrego,22-83882@g.batstate-u.edu.ph,*O&VhIr1,2004-02-25,Female,Single,False,False,False,Bus,With Family,"Witty, Adventurous, Adaptable, Responsible, Consitent, Honest","Art, Photography, Music, Dancing","IT 111, CS 111, Fili 101, GEd 101, GEd 102, Math 111, PE 101",2022,First Year,1.25,"Visual, Logical / Patterns, Auditory, Social, Kinaesthetic / Hands-on, Intuitive",10
22-29762,Kimberly Murphy,22-29762@g.batstate-u.edu.ph,9)yrC2z2,2004-05-04,Female,Single,True,False,False,Bus,Apartment,"Consitent, Persistent, Adventurous, Confident","Food, Photography, Programming","IT 111, CS 111, Fili 101, GEd 101, GEd 102, Math 111, PE 101",2022,First Year,1,"Social, Read/Write, Visual",5
20-79385,Armando Schaefer,20-79385@g.batstate-u.edu.ph,MXir&q)4,2000-09-24,Male,Married,False,False,False,Bus,With Family,"Adventurous, Consitent, Self-Disciplined, Responsible","Food, Art, Music","CS 311, CS 312, IT 321, IT 314, IT 331, Math 408, GEd 104",2020,Third Year,1,"Intuitive, Logical / Patterns, Auditory, Social, Kinaesthetic / Hands-on, Read/Write",10
22-57927,Alberto Tyndall,22-57927@g.batstate-u.edu.ph,!6H1uTiD,2004-06-05,Male,Single,True,True,False,Private Car / Taxi,Other,"Confident, Self-Disciplined, Careful, Persistent, Adventurous, Witty","Photography, Dancing, Art, Travel","CS 121, Fili 102, GEd 105, GEd 108, Math 401, Math 407, PE 102",2022,First Year,1.25,"Social, Logical / Patterns, Intuitive, Read/Write, Auditory",3
21-76851,Sharyl Buchanan,21-76851@g.batstate-u.edu.ph,mM?N6tsvd,2001-05-14,Female,Married,True,False,False,Bus,Dormitory,"Self-Disciplined, Diligent, Cooperative, Ambitious, Alert","Reading Books, Games, Food, Sports","CS 221, CS 222, IT 221, GEd 106, GEd 107, ES 101, ENGG 414, PE 104",2021,Second Year,1.25,"Auditory, Kinaesthetic / Hands-on, Read/Write",0
20-65596,Roy Narvaez,20-65596@g.batstate-u.edu.ph,g8(x1RD^,2000-09-07,Male,Single,False,False,True,Private Car / Taxi,With Family,"Persistent, Confident, Diligent","Reading Books, Programming, Food","CS 321, CS 322, CS 324, Math 409, GEd 103, NTT 404",2020,Third Year,1.25,"Auditory, Social, Logical / Patterns, Read/Write",7
20-76795,Dorothy Youngblood,20-76795@g.batstate-u.edu.ph,",c&*6Yy5M",2002-02-19,Female,Single,False,True,False,Bus,Other,"Careful, Honest, Adventurous","Dancing, Travel, Sports","CS 311, CS 312, IT 321, IT 314, IT 331, Math 408, GEd 104",2020,Third Year,1,"Visual, Kinaesthetic / Hands-on",4
21-71429,Roberto Bailey,21-71429@g.batstate-u.edu.ph,mY>>9zT$,2001-01-17,Male,Single,False,False,False,Private Car / Taxi,With Family,"Adventurous, Consitent, Honest, Obedient","Art, Photography","CS 221, CS 222, IT 221, GEd 106, GEd 107, ES 101, ENGG 414, PE 104",2021,Second Year,2,"Auditory, Social, Read/Write, Visual, Kinaesthetic / Hands-on",6
20-25064,Russell Parker,20-25064@g.batstate-u.edu.ph,4^bN)Lg2,2001-06-30,Male,Single,False,False,False,Bus,Other,"Adaptable, Diligent, Obedient, Alert, Creative","Sports, Programming","CS 311, CS 312, IT 321, IT 314, IT 331, Math 408, GEd 104",2020,Third Year,1.25,"Intuitive, Logical / Patterns, Social, Read/Write, Auditory, Visual",2
